"","882001.WI","882002.WI","882003.WI","882004.WI","882005.WI","882006.WI","882007.WI","882008.WI","882009.WI","882010.WI"
"882001.WI",1,0.758986029075222,0.383991749657421,0.161134924542489,0.178339675553006,-0.0838209362971032,0.55679941956901,-0.013204485447291,0.582968319554468,0.447410966906847
"882002.WI",0.758986029075222,1,0.863467156166255,0.719083497184053,0.673157090884834,0.500679988211932,0.870264252336904,0.594114674465506,0.846902310368467,0.853718850153446
"882003.WI",0.383991749657421,0.863467156166255,1,0.953788927872193,0.840813373660143,0.827169225080995,0.910792342580516,0.904387676996225,0.868408776426045,0.963798492971957
"882004.WI",0.161134924542489,0.719083497184053,0.953788927872193,1,0.912670888787765,0.950257140540485,0.838305541511041,0.976500619275134,0.743498975658345,0.894379264429814
"882005.WI",0.178339675553006,0.673157090884834,0.840813373660143,0.912670888787765,1,0.910005701918727,0.710766122334879,0.860836880440356,0.586503626047877,0.737580897812217
"882006.WI",-0.0838209362971032,0.500679988211932,0.827169225080995,0.950257140540485,0.910005701918727,1,0.676648439820464,0.960878471691686,0.564653033100982,0.748597786958223
"882007.WI",0.55679941956901,0.870264252336904,0.910792342580516,0.838305541511041,0.710766122334879,0.676648439820464,1,0.756311125209048,0.870585259013503,0.948711807801341
"882008.WI",-0.013204485447291,0.594114674465506,0.904387676996225,0.976500619275134,0.860836880440356,0.960878471691686,0.756311125209048,1,0.683348496354415,0.838108520278989
"882009.WI",0.582968319554468,0.846902310368467,0.868408776426045,0.743498975658345,0.586503626047877,0.564653033100982,0.870585259013503,0.683348496354415,1,0.902593312903602
"882010.WI",0.447410966906847,0.853718850153446,0.963798492971957,0.894379264429814,0.737580897812217,0.748597786958223,0.948711807801341,0.838108520278989,0.902593312903602,1
