,X801010.SI,X801020.SI,X801030.SI,X801040.SI,X801050.SI,X801080.SI,X801110.SI,X801120.SI,X801130.SI,X801140.SI,X801150.SI,X801160.SI,X801170.SI,X801180.SI,X801200.SI,X801210.SI,X801230.SI,X801710.SI,X801720.SI,X801730.SI,X801740.SI,X801750.SI,X801760.SI,X801770.SI,X801780.SI,X801790.SI,X801880.SI,X801890.SI,X801010.SI.1,X801020.SI.1,X801030.SI.1,X801040.SI.1,X801050.SI.1,X801080.SI.1,X801110.SI.1,X801120.SI.1,X801130.SI.1,X801140.SI.1,X801150.SI.1,X801160.SI.1,X801170.SI.1,X801180.SI.1,X801200.SI.1,X801210.SI.1,X801230.SI.1,X801710.SI.1,X801720.SI.1,X801730.SI.1,X801740.SI.1,X801750.SI.1,X801760.SI.1,X801770.SI.1,X801780.SI.1,X801790.SI.1,X801880.SI.1,X801890.SI.1
801010.SI,1,0.167929478,0.709296398,0.220963635,0.29394981,0.680850633,0.512558307,0.496249487,0.72864261,0.760868857,0.665512749,0.498213255,0.462214888,0.048472379,0.737381541,0.62480341,0.666111683,0.514921814,0.282986477,0.694400617,0.542693696,0.486687207,0.396861291,0.614256359,0.269595406,0.150926787,0.509239734,0.592881058,0,-9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,-75,-99,0,0
801020.SI,0.167929478,1,0.222817981,0.356328278,0.66203753,0.071652086,0.136870963,0.168270203,0.263592063,0.155016721,0.017965823,0.144002751,0.141820578,0.497090433,0.269882364,0.131127346,0.297156737,0.432252029,0.149741881,0.198795347,0.20920278,0.011478861,-0.042204356,0.059734007,0.165341048,0.109526945,0.340007489,0.224288993,9,0,0,9,0,65,40,-27,50,28,94,95,77,39,27,36,38,50,83,53,3,61,67,66,-51,100,38,10
801030.SI,0.709296398,0.222817981,1,0.3565134,0.344748659,0.701123302,0.560423366,0.353843566,0.753034893,0.805109129,0.591962399,0.48855349,0.442059549,0.200037192,0.62610312,0.573021553,0.767398235,0.542824075,0.244713485,0.587669001,0.519009553,0.525326353,0.380814603,0.626096811,0.321835865,0.192013183,0.590254762,0.560368667,0,0,0,2,0,0,0,-1,0,0,0,0,0,-2,0,0,0,0,3,0,0,0,0,0,-73,-100,0,0
801040.SI,0.220963635,0.356328278,0.3565134,1,0.323878506,0.030336188,0.253842991,-0.041921573,0.304673444,0.307362237,-0.04806329,0.286852861,0.476311637,0.265912716,0.297375224,0.040471575,0.266943833,0.445172204,0.314991242,0.073676569,0.305922768,0.111324327,-0.0111868,0.145343486,0.047163987,0.383988025,0.233233652,0.26070323,-1,-9,-2,0,0,10,11,-96,0,-1,-47,-1,-1,13,0,7,0,0,0,11,1,50,-100,11,-81,94,7,11
801050.SI,0.29394981,0.66203753,0.344748659,0.323878506,1,0.319932335,0.232314559,0.253961852,0.32621139,0.317932742,0.168851304,0.023445439,0.062972129,0.395272606,0.304030186,0.281738154,0.417622845,0.55170691,0.06017095,0.339102201,0.427508216,0.109326918,-0.057880568,0.018181782,0.209768909,0.152078553,0.542911322,0.495824405,0,0,0,0,0,0,8,-11,0,0,0,100,0,18,0,0,0,1,13,0,0,0,100,0,-87,59,7,0
801080.SI,0.680850633,0.071652086,0.701123302,0.030336188,0.319932335,1,0.605858659,0.455787107,0.693474175,0.823127088,0.851224478,0.41316793,0.280699282,0.125119897,0.575631017,0.702480466,0.760070291,0.453308448,0.127136419,0.796032219,0.556091871,0.716575565,0.62643612,0.699154299,0.347863522,0.195042277,0.653513246,0.659558755,0,-65,0,-10,0,0,0,0,0,0,0,0,-1,-19,0,0,0,0,13,0,0,0,0,0,91,-100,0,0
801110.SI,0.512558307,0.136870963,0.560423366,0.253842991,0.232314559,0.605858659,1,0.23475266,0.553853578,0.609567766,0.457599048,0.304454118,0.236767042,0.221111207,0.522583925,0.425474282,0.522739347,0.563754819,0.133692529,0.520269081,0.40546227,0.404166231,0.373144639,0.456384671,0.254683669,0.110020158,0.591470922,0.503707943,0,-40,0,-11,-8,0,0,-36,0,0,0,0,0,-2,0,-1,-1,0,15,0,0,0,0,0,99,59,0,0
801120.SI,0.496249487,0.168270203,0.353843566,-0.041921573,0.253961852,0.455787107,0.23475266,1,0.34258657,0.328424307,0.541277998,0.105183348,-0.048133788,0.03593011,0.323670712,0.425390324,0.259462951,0.109824381,-0.043694008,0.261009515,0.111786859,0.155196225,0.155632154,0.243844304,0.321124143,0.095256942,0.170241663,0.180815823,0,27,1,96,11,0,36,0,0,0,0,0,-22,88,0,0,0,10,1,0,6,0,0,0,100,-100,0,0
801130.SI,0.72864261,0.263592063,0.753034893,0.304673444,0.32621139,0.693474175,0.553853578,0.34258657,1,0.860678469,0.600276377,0.546820113,0.574167736,0.348944878,0.810342182,0.744086456,0.896018536,0.59795631,0.355293712,0.668338456,0.537267048,0.616889986,0.456362093,0.529868257,0.270306291,0.179924108,0.586665041,0.653325401,0,-50,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,11,0,0,1,1,1,-75,83,0,0
801140.SI,0.760868857,0.155016721,0.805109129,0.307362237,0.317932742,0.823127088,0.609567766,0.328424307,0.860678469,1,0.720142413,0.540424561,0.593877682,0.215440117,0.751391276,0.754529116,0.8700932,0.564613816,0.264887812,0.762888445,0.641509336,0.696931197,0.587442028,0.697008173,0.333076045,0.254886873,0.64759122,0.68054623,0,-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,1,1,-75,100,0,0
