"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.181155208116858,0.7130862025019,0.226740643871123,0.299866683960719,0.682801952391379,0.520740327661532,0.501177020013651,0.731446294087758,0.765342775725906,0.66948750141224,0.503424149317743,0.465635879219135,0.0419302177749175,0.739559608996273,0.628836784511489,0.671571483648649,0.520834431256617,0.300561011073838,0.697333270010343,0.557133613873216,0.496487173669332,0.412443707379308,0.623798409747027,0.293870160863872,0.155190492806815,0.518313546308958,0.596501362423786,0,-8,0,2,0,0,1,0,-1,0,0,-1,-1,-1,1,0,-1,0,6,0,1,3,5,3,-78,-100,2,1
"801020.SI",0.181155208116858,1,0.223490508483932,0.367771631505029,0.67110028106274,0.0729777736756556,0.145625907200667,0.174987535866162,0.267006130309157,0.160843052165628,0.0153425166339114,0.151100063760549,0.148759682105469,0.51686443049369,0.279902721144342,0.136386201315058,0.302657798623915,0.442884667548708,0.154860643194661,0.199076491764323,0.219411480369976,0.0157907672544677,-0.0376410700206019,0.0636753432712755,0.172224003773883,0.11391544077505,0.350329711819907,0.231045837606825,8,0,0,8,2,67,36,-31,50,26,94,92,75,38,25,34,38,53,80,55,2,61,68,64,-53,100,35,10
"801030.SI",0.7130862025019,0.223490508483932,1,0.360216777337892,0.350253115737779,0.705441332925026,0.565906375633541,0.365545592933532,0.760217935706335,0.811822272904283,0.595341659195444,0.492684588738806,0.453702684796157,0.207136344551631,0.629708599599311,0.589459256477258,0.77896751763719,0.550617694688191,0.26115492167855,0.59002934416923,0.537288700462037,0.536755779291265,0.387960023947154,0.632430245181709,0.34594026190025,0.196565702252115,0.597752675217078,0.568137571424795,0,0,0,4,1,0,0,-5,-1,-1,0,-2,-3,-8,-1,-3,-2,2,6,0,2,3,2,2,-74,-100,2,2
"801040.SI",0.226740643871123,0.367771631505029,0.360216777337892,1,0.326828790287331,0.0341047018489673,0.269427284819028,-0.0451494032955959,0.305486724121385,0.310113439113424,-0.0474547051889185,0.290077237478058,0.480684861430821,0.281921573704513,0.299202312601368,0.0469321862007216,0.268243657341522,0.454418135555179,0.314636966441972,0.0752732671157666,0.312337186263243,0.116460154098833,-0.0116584024099347,0.154536638710159,0.0487171818308858,0.393783269861096,0.246647955210592,0.26425424191082,-2,-8,-4,0,-2,9,10,-44,1,-2,-47,-3,-3,15,0,6,2,1,-1,13,2,50,-100,13,-78,95,7,11
"801050.SI",0.299866683960719,0.67110028106274,0.350253115737779,0.326828790287331,1,0.325700527866677,0.242221229068685,0.258936111409963,0.330478095477011,0.325781250458519,0.178454984250368,0.0274081904233491,0.063413454259925,0.40600871803786,0.314396827312092,0.289758846641558,0.422523921542087,0.566736087968708,0.0718835589309962,0.351372822348968,0.437426435447597,0.119414658862166,-0.0482896363374396,0.020058564318846,0.220756190351614,0.159065098901424,0.562960866836771,0.501941937392262,0,-2,-1,2,0,0,8,-12,1,0,2,100,-2,17,3,1,0,5,16,3,1,3,8,3,-85,61,6,1
"801080.SI",0.682801952391379,0.0729777736756556,0.705441332925026,0.0341047018489673,0.325700527866677,1,0.612811201568247,0.464371913375339,0.696468983842955,0.827516808878942,0.855810275576299,0.416471056342244,0.295504323588558,0.143384241717882,0.572169213642005,0.716362789758491,0.768068512452992,0.452918283892388,0.1437500614953,0.797201959591022,0.563894451372488,0.722984750065154,0.632641608862864,0.698855440868327,0.365393580215963,0.202956796951541,0.656350558316065,0.661977841070319,0,-67,0,-9,0,0,2,-2,-1,-1,0,-1,-6,-16,-1,-3,-2,-1,11,0,1,2,2,0,90,-100,2,1
"801110.SI",0.520740327661532,0.145625907200667,0.565906375633541,0.269427284819028,0.242221229068685,0.612811201568247,1,0.242518056893548,0.566083335807217,0.621035593908063,0.458962175169346,0.306806033929568,0.23582311033593,0.238155709197711,0.525680564535433,0.447837470693199,0.538905640450829,0.575588343768594,0.144876256059155,0.524102129783701,0.416363896562425,0.411420838248786,0.378859086997444,0.462110686783639,0.265351493981762,0.119793422637012,0.594612246623161,0.509000295264375,-1,-36,0,-10,-8,-2,0,-36,-3,-3,-3,-1,-3,-4,0,-7,-4,-2,14,-1,0,3,4,2,95,62,0,2
"801120.SI",0.501177020013651,0.174987535866162,0.365545592933532,-0.0451494032955959,0.258936111409963,0.464371913375339,0.242518056893548,1,0.351458541875746,0.331644584872819,0.542907931928767,0.106100231447979,-0.039837731714416,0.035838726735308,0.327200260785172,0.435405716762514,0.263608934199926,0.11531168013264,-0.0409602224664465,0.263427918345956,0.120894223580746,0.161029235125124,0.158693759794519,0.248564041359206,0.335763569750492,0.101025882196145,0.176536277277836,0.185913211467953,0,31,5,44,12,2,36,0,3,2,1,0,-22,87,3,-1,2,8,2,2,7,3,2,2,100,-100,6,3
"801130.SI",0.731446294087758,0.267006130309157,0.760217935706335,0.305486724121385,0.330478095477011,0.696468983842955,0.566083335807217,0.351458541875746,1,0.865152970672368,0.603395356125351,0.549291627718948,0.578715270485483,0.359509237799014,0.814215955479746,0.752011306743473,0.902521529211352,0.60497659014136,0.378357483825956,0.672697483694231,0.551815711843295,0.635652818281498,0.474287607256451,0.54279462334304,0.296337412683009,0.196077174782639,0.596960415327383,0.664447857001499,1,-50,1,-1,-1,1,3,-3,0,0,1,0,-1,-5,1,-1,-1,2,9,1,2,4,4,4,-78,83,3,3
"801140.SI",0.765342775725906,0.160843052165628,0.811822272904283,0.310113439113424,0.325781250458519,0.827516808878942,0.621035593908063,0.331644584872819,0.865152970672368,1,0.724621635809486,0.544306667286849,0.600667042412519,0.220195918202532,0.755699651810303,0.763615400312862,0.876026754515691,0.571645437649762,0.283094576885921,0.770346577158274,0.66480415763914,0.715484876019458,0.605487046618279,0.709338766336682,0.360254694704561,0.261881393792824,0.656356125287814,0.695510734748131,0,-26,1,2,0,1,3,-2,0,0,1,0,-2,-4,1,-1,-1,1,15,1,3,4,4,3,-77,100,2,3
