"","882001.WI","882002.WI","882003.WI","882004.WI","882005.WI","882006.WI","882007.WI","882008.WI","882009.WI","882010.WI"
"882001.WI",1,0.758986029075223,0.383991749657421,0.161134924542489,0.178339675553006,-0.0838209362971031,0.556799419569007,-0.0132044854472909,0.582968319554467,0.447410966906846
"882002.WI",0.758986029075223,1,0.863467156166258,0.719083497184054,0.673157090884834,0.500679988211932,0.870264252336905,0.594114674465505,0.846902310368466,0.853718850153447
"882003.WI",0.383991749657421,0.863467156166258,1,0.953788927872192,0.840813373660143,0.827169225080996,0.910792342580514,0.904387676996225,0.868408776426044,0.963798492971955
"882004.WI",0.161134924542489,0.719083497184054,0.953788927872192,1,0.912670888787766,0.950257140540485,0.838305541511041,0.976500619275133,0.743498975658344,0.894379264429813
"882005.WI",0.178339675553006,0.673157090884834,0.840813373660143,0.912670888787766,1,0.910005701918728,0.710766122334879,0.860836880440358,0.586503626047877,0.737580897812218
"882006.WI",-0.0838209362971031,0.500679988211932,0.827169225080996,0.950257140540485,0.910005701918728,1,0.676648439820463,0.960878471691687,0.564653033100982,0.748597786958223
"882007.WI",0.556799419569007,0.870264252336905,0.910792342580514,0.838305541511041,0.710766122334879,0.676648439820463,1,0.756311125209047,0.870585259013503,0.94871180780134
"882008.WI",-0.0132044854472909,0.594114674465505,0.904387676996225,0.976500619275133,0.860836880440358,0.960878471691687,0.756311125209047,1,0.683348496354415,0.838108520278989
"882009.WI",0.582968319554467,0.846902310368466,0.868408776426044,0.743498975658344,0.586503626047877,0.564653033100982,0.870585259013503,0.683348496354415,1,0.902593312903601
"882010.WI",0.447410966906846,0.853718850153447,0.963798492971955,0.894379264429813,0.737580897812218,0.748597786958223,0.94871180780134,0.838108520278989,0.902593312903601,1
