"","X882001.WI","X882002.WI","X882003.WI","X882004.WI","X882005.WI","X882006.WI","X882007.WI","X882008.WI","X882009.WI","X882010.WI","X882001.WI.1","X882002.WI.1","X882003.WI.1","X882004.WI.1","X882005.WI.1","X882006.WI.1","X882007.WI.1","X882008.WI.1","X882009.WI.1","X882010.WI.1"
"882001.WI",1,0.229422591102651,-0.388523852092856,-0.38059104884255,0.0571902089508239,-0.319190822689809,-0.265710460955517,-0.565373970504739,-0.192605489019718,-0.431006853580629,0,5,5,-5,-5,-5,-5,-5,0,-5
"882002.WI",0.229422591102651,1,0.708138132437228,0.648506715871336,0.71318074512885,0.582827186924738,0.477416902704025,0.526035792716829,0.303659196876387,0.448238692406347,-5,0,0,0,0,0,0,0,5,0
"882003.WI",-0.388523852092856,0.708138132437228,1,0.954850667966203,0.715660054403368,0.886774647320553,0.796918732786517,0.945744085122199,0.607605261430525,0.882766327630856,-5,0,0,0,0,0,0,0,5,0
"882004.WI",-0.38059104884255,0.648506715871336,0.954850667966203,1,0.8107862918426,0.97113299234736,0.859702062669411,0.966867924500773,0.54000215301575,0.873929256964949,5,0,0,0,0,0,0,0,5,0
"882005.WI",0.0571902089508239,0.71318074512885,0.715660054403368,0.8107862918426,1,0.866476078172093,0.691272290139821,0.681772497076182,0.273582656450999,0.614712840722397,5,0,0,0,0,0,0,0,5,0
"882006.WI",-0.319190822689809,0.582827186924738,0.886774647320553,0.97113299234736,0.866476078172093,1,0.855051768184533,0.920512042103034,0.499530515227032,0.86014030569582,5,0,0,0,0,0,0,0,1,0
"882007.WI",-0.265710460955517,0.477416902704025,0.796918732786517,0.859702062669411,0.691272290139821,0.855051768184533,1,0.817585112467781,0.52092112062889,0.854923305048968,5,0,0,0,0,0,0,0,0,0
"882008.WI",-0.565373970504739,0.526035792716829,0.945744085122199,0.966867924500773,0.681772497076182,0.920512042103034,0.817585112467781,1,0.56711120114822,0.879769884424019,5,0,0,0,0,0,0,0,5,0
"882009.WI",-0.192605489019718,0.303659196876387,0.607605261430525,0.54000215301575,0.273582656450999,0.499530515227032,0.52092112062889,0.56711120114822,1,0.692639890471609,0,-5,-5,-5,-5,-1,0,-5,0,-5
"882010.WI",-0.431006853580629,0.448238692406347,0.882766327630856,0.873929256964949,0.614712840722397,0.86014030569582,0.854923305048968,0.879769884424019,0.692639890471609,1,5,0,0,0,0,0,0,0,5,0
