"","X882100.WI","X882101.WI","X882102.WI","X882103.WI","X882104.WI","X882105.WI","X882106.WI","X882107.WI","X882108.WI","X882109.WI","X882110.WI","X882111.WI","X882112.WI","X882113.WI","X882114.WI","X882115.WI","X882116.WI","X882117.WI","X882118.WI","X882119.WI","X882120.WI","X882121.WI","X882122.WI","X882123.WI","X882100.WI.1","X882101.WI.1","X882102.WI.1","X882103.WI.1","X882104.WI.1","X882105.WI.1","X882106.WI.1","X882107.WI.1","X882108.WI.1","X882109.WI.1","X882110.WI.1","X882111.WI.1","X882112.WI.1","X882113.WI.1","X882114.WI.1","X882115.WI.1","X882116.WI.1","X882117.WI.1","X882118.WI.1","X882119.WI.1","X882120.WI.1","X882121.WI.1","X882122.WI.1","X882123.WI.1"
"882100.WI",1,0.233793075644708,-0.31623092197827,-0.421773748172081,-0.564665488333404,-0.361733466122355,-0.385929729682138,-0.498660334647417,-0.503773957607982,-0.193612218061616,-0.342995384991911,0.0866608753015164,-0.0776716990720581,-0.284621697911178,-0.305300915121145,-0.13360454157401,-0.236202449796204,-0.393850367901601,-0.372777120916559,-0.619407478054061,-0.501986937526933,-0.498744632893551,-0.192955082584199,-0.427495678425657,0,10,-10,-10,10,-10,-10,10,-10,10,-10,-10,-10,-10,-10,-10,6,-10,10,-10,-10,-10,0,-10
"882101.WI",0.233793075644708,1,0.742323451553187,0.519892927787561,0.212222949422316,0.637728442798135,0.6437249842951,0.553879499612054,0.367551204933273,0.801754117455742,0.636914106387356,0.71249474144706,0.523739300938156,0.605296428253129,0.586653098804355,0.452931478074142,0.211620363737612,-0.475551411269674,0.518697464724145,0.442083623231514,0.575277114620332,0.595916325435931,0.305862100003163,0.448354485118522,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,5,-10,0,0,0,0,10,0
"882102.WI",-0.31623092197827,0.742323451553187,1,0.911784281926615,0.459809292194295,0.941750310232396,0.963531941010652,0.917695486522825,0.822589222780995,0.947260084119542,0.955167408720056,0.770703876149763,0.710132349877725,0.918440369413179,0.914807059024764,0.718126522350839,0.501834497763942,-0.229258097038458,0.830305567658185,0.893981071031448,0.941868333948794,0.871261420465255,0.564341124572731,0.861831917273542,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,10,0
"882103.WI",-0.421773748172081,0.519892927787561,0.911784281926615,1,0.304913422488078,0.958927573896502,0.96414372729116,0.927000825293311,0.937984049019177,0.838508657086281,0.951685890951029,0.778752535710635,0.847371836688663,0.961145836148133,0.979067295179929,0.804160913301166,0.415146605248519,-0.092036035120243,0.813078598814834,0.907988812079126,0.967539521765731,0.854895266709214,0.520181492772104,0.862467872194398,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-10,0,0,0,0,10,0
"882104.WI",-0.564665488333404,0.212222949422316,0.459809292194295,0.304913422488078,1,0.327461407202444,0.401142439910133,0.49457560537042,0.39826944097957,0.447189438385123,0.347568769100784,-0.110950760214879,-0.0820482554952749,0.203931010629778,0.229104907098544,0.0803642045976291,0.528879419641054,0.0108106308086626,0.49373254716581,0.601202491203942,0.463677596126886,0.424945349923035,0.559304469519169,0.55352288535979,-10,0,0,0,0,0,0,0,10,0,0,0,0,6,0,-10,10,-10,0,0,0,0,10,0
"882105.WI",-0.361733466122355,0.637728442798135,0.941750310232396,0.958927573896502,0.327461407202444,1,0.980207515523945,0.93700401916297,0.884080241336999,0.881521922125334,0.965333305639121,0.790355542082674,0.81012852870169,0.952835302929731,0.965935936349809,0.823691846191417,0.449926263600785,-0.139827120483684,0.851403544770499,0.896903994169253,0.966588975894292,0.868208368916138,0.469621498873211,0.83363599806532,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,10,0
"882106.WI",-0.385929729682138,0.6437249842951,0.963531941010652,0.96414372729116,0.401142439910133,0.980207515523945,1,0.962563998119124,0.894409985764505,0.907021872425611,0.965570816438338,0.793866961161792,0.79367630872583,0.948901028615377,0.968019198948303,0.818745581250216,0.481989812017962,-0.171763215401063,0.873933177521591,0.928976272646446,0.980980922061728,0.857232703203994,0.536185040309165,0.883955663820703,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,10,0
"882107.WI",-0.498660334647417,0.553879499612054,0.917695486522825,0.927000825293311,0.49457560537042,0.93700401916297,0.962563998119124,1,0.862421086169697,0.864230133444971,0.910496625495374,0.700333698603053,0.699644699967596,0.86998666428098,0.909339428678196,0.782761219311311,0.464508935251907,-0.0426230964632552,0.913395785306115,0.951393184175398,0.97055817113725,0.835856219735524,0.504824337228426,0.869691346737155,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,10,0
"882108.WI",-0.503773957607982,0.367551204933273,0.822589222780995,0.937984049019177,0.39826944097957,0.884080241336999,0.894409985764505,0.862421086169697,1,0.742845052971247,0.883749445882612,0.607159361265259,0.751746731371688,0.902212512881669,0.903642491849763,0.708833295453711,0.465125250995104,-0.0792738238537509,0.763618137496383,0.900501729342664,0.916461407839496,0.792873069667013,0.621333103150503,0.846309056456516,10,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,10,10,-10,0,0,0,-1,1,0
"882109.WI",-0.193612218061616,0.801754117455742,0.947260084119542,0.838508657086281,0.447189438385123,0.881521922125334,0.907021872425611,0.864230133444971,0.742845052971247,1,0.903202783301632,0.772680763182646,0.673329730237281,0.851072429166557,0.849578912051925,0.668864139826833,0.409658878867905,-0.296649408179252,0.767372565553783,0.798172734904012,0.877570144318965,0.838829987606749,0.525965353202118,0.759739548307506,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,10,-10,0,0,0,0,10,0
"882110.WI",-0.342995384991911,0.636914106387356,0.955167408720056,0.951685890951029,0.347568769100784,0.965333305639121,0.965570816438338,0.910496625495374,0.883749445882612,0.903202783301632,1,0.81112510501471,0.78478556562803,0.965663780659894,0.959842402367007,0.76063160238741,0.423514122660648,-0.14333449774752,0.774692561500435,0.883005642153089,0.952740710823097,0.886567068092191,0.509125134567414,0.844028723120314,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,10,0
"882111.WI",0.0866608753015164,0.71249474144706,0.770703876149763,0.778752535710635,-0.110950760214879,0.790355542082674,0.793866961161792,0.700333698603053,0.607159361265259,0.772680763182646,0.81112510501471,1,0.849506729806757,0.843055727563245,0.848317962844687,0.781775605692192,0.153547770390294,-0.294475171634201,0.573150350699122,0.562074807784075,0.720804257736092,0.63307115417798,0.254255410892915,0.58950801109328,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-10,0,0,0,0,10,0
"882112.WI",-0.0776716990720581,0.523739300938156,0.710132349877725,0.847371836688663,-0.0820482554952749,0.81012852870169,0.79367630872583,0.699644699967596,0.751746731371688,0.673329730237281,0.78478556562803,0.849506729806757,1,0.865335259251294,0.899234409627598,0.814414590026749,0.236295265025368,-0.256765139717992,0.633544654633847,0.61542496765122,0.750548762472837,0.602541169678454,0.328735041816648,0.663352537266647,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-1,0,0
"882113.WI",-0.284621697911178,0.605296428253129,0.918440369413179,0.961145836148133,0.203931010629778,0.952835302929731,0.948901028615377,0.86998666428098,0.902212512881669,0.851072429166557,0.965663780659894,0.843055727563245,0.865335259251294,1,0.977383658524651,0.787714387182359,0.390103208162107,-0.198746043534593,0.749152957276591,0.841531987869101,0.923269960065897,0.83030466820965,0.478413573059773,0.813771356671374,10,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,1,0
"882114.WI",-0.305300915121145,0.586653098804355,0.914807059024764,0.979067295179929,0.229104907098544,0.965935936349809,0.968019198948303,0.909339428678196,0.903642491849763,0.849578912051925,0.959842402367007,0.848317962844687,0.899234409627598,0.977383658524651,1,0.857282979061407,0.413628826532677,-0.186765681139056,0.812557901325309,0.862060951872444,0.945563731505226,0.809515718809667,0.493195878225559,0.857889615465985,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-10,0,0,0,0,1,0
"882115.WI",-0.13360454157401,0.452931478074142,0.718126522350839,0.804160913301166,0.0803642045976291,0.823691846191417,0.818745581250216,0.782761219311311,0.708833295453711,0.668864139826833,0.76063160238741,0.781775605692192,0.814414590026749,0.787714387182359,0.857282979061407,1,0.468893784016242,-0.213905902761332,0.795773429240748,0.69403341731867,0.758259808314321,0.530178819318937,0.405784864633056,0.739848909802215,10,10,0,-10,10,0,0,0,-10,10,0,0,0,0,0,0,0,-10,0,-9,-7,-10,10,9
"882116.WI",-0.236202449796204,0.211620363737612,0.501834497763942,0.415146605248519,0.528879419641054,0.449926263600785,0.481989812017962,0.464508935251907,0.465125250995104,0.409658878867905,0.423514122660648,0.153547770390294,0.236295265025368,0.390103208162107,0.413628826532677,0.468893784016242,1,-0.22734442335952,0.647684413158475,0.583322619361596,0.43919626101004,0.205223144705645,0.615012375825916,0.680400451396394,-6,-5,-10,-10,-10,0,-10,-10,-10,-10,-10,-3,0,-10,-6,0,0,-10,0,-10,-10,-10,-10,-10
"882117.WI",-0.393850367901601,-0.475551411269674,-0.229258097038458,-0.092036035120243,0.0108106308086626,-0.139827120483684,-0.171763215401063,-0.0426230964632552,-0.0792738238537509,-0.296649408179252,-0.14333449774752,-0.294475171634201,-0.256765139717992,-0.198746043534593,-0.186765681139056,-0.213905902761332,-0.22734442335952,1,-0.135376703035044,-0.0024428916069404,-0.0793068672258372,0.0128406182158735,-0.378425038885997,-0.19295122507652,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,-10,10
"882118.WI",-0.372777120916559,0.518697464724145,0.830305567658185,0.813078598814834,0.49373254716581,0.851403544770499,0.873933177521591,0.913395785306115,0.763618137496383,0.767372565553783,0.774692561500435,0.573150350699122,0.633544654633847,0.749152957276591,0.812557901325309,0.795773429240748,0.647684413158475,-0.135376703035044,1,0.867675246482283,0.850716118869946,0.629977638585201,0.539214179325677,0.870132001864561,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,10,0
"882119.WI",-0.619407478054061,0.442083623231514,0.893981071031448,0.907988812079126,0.601202491203942,0.896903994169253,0.928976272646446,0.951393184175398,0.900501729342664,0.798172734904012,0.883005642153089,0.562074807784075,0.61542496765122,0.841531987869101,0.862060951872444,0.69403341731867,0.583322619361596,-0.0024428916069404,0.867675246482283,1,0.957066796761148,0.828722444570733,0.602938579918091,0.888169208212484,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,-10,0,0,0,0,1,0
"882120.WI",-0.501986937526933,0.575277114620332,0.941868333948794,0.967539521765731,0.463677596126886,0.966588975894292,0.980980922061728,0.97055817113725,0.916461407839496,0.877570144318965,0.952740710823097,0.720804257736092,0.750548762472837,0.923269960065897,0.945563731505226,0.758259808314321,0.43919626101004,-0.0793068672258372,0.850716118869946,0.957066796761148,1,0.908819382874012,0.537504807259435,0.866959316909003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,-10,0,0,0,0,10,0
"882121.WI",-0.498744632893551,0.595916325435931,0.871261420465255,0.854895266709214,0.424945349923035,0.868208368916138,0.857232703203994,0.835856219735524,0.792873069667013,0.838829987606749,0.886567068092191,0.63307115417798,0.602541169678454,0.83030466820965,0.809515718809667,0.530178819318937,0.205223144705645,0.0128406182158735,0.629977638585201,0.828722444570733,0.908819382874012,1,0.382391861969558,0.654946632214859,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10,-10,0,0,0,0,10,0
"882122.WI",-0.192955082584199,0.305862100003163,0.564341124572731,0.520181492772104,0.559304469519169,0.469621498873211,0.536185040309165,0.504824337228426,0.621333103150503,0.525965353202118,0.509125134567414,0.254255410892915,0.328735041816648,0.478413573059773,0.493195878225559,0.405784864633056,0.615012375825916,-0.378425038885997,0.539214179325677,0.602938579918091,0.537504807259435,0.382391861969558,1,0.694590080409999,0,-10,-10,-10,-10,-10,-10,-10,-1,-10,-10,-10,0,-1,-1,-10,10,10,-10,-1,-10,-10,0,-10
"882123.WI",-0.427495678425657,0.448354485118522,0.861831917273542,0.862467872194398,0.55352288535979,0.83363599806532,0.883955663820703,0.869691346737155,0.846309056456516,0.759739548307506,0.844028723120314,0.58950801109328,0.663352537266647,0.813771356671374,0.857889615465985,0.739848909802215,0.680400451396394,-0.19295122507652,0.870132001864561,0.888169208212484,0.866959316909003,0.654946632214859,0.694590080409999,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,10,-10,0,0,0,0,10,0
