证券代码,证券简称,"总市值2
[交易日期] 最新收盘日
[单位] 元"
801010.SI,农林牧渔(申万),"966,578,831,095.9990"
801020.SI,采掘(申万),"2,192,271,695,550.0000"
801030.SI,化工(申万),"2,817,449,217,164.0000"
801040.SI,钢铁(申万),"578,824,714,450.0000"
801050.SI,有色金属(申万),"1,482,916,020,918.0000"
801080.SI,电子(申万),"1,923,384,114,314.0000"
801110.SI,家用电器(申万),"962,884,368,610.0000"
801120.SI,食品饮料(申万),"1,637,709,999,432.0000"
801130.SI,纺织服装(申万),"687,326,727,468.0000"
801140.SI,轻工制造(申万),"826,436,870,307.0000"
801150.SI,医药生物(申万),"3,102,414,838,228.0000"
801160.SI,公用事业(申万),"1,982,023,051,969.0000"
801170.SI,交通运输(申万),"1,610,570,578,488.0000"
801180.SI,房地产(申万),"2,273,425,810,749.0000"
801200.SI,商业贸易(申万),"987,722,482,080.0000"
801210.SI,休闲服务(申万),"370,480,425,842.9990"
801230.SI,综合(申万),"362,344,136,514.0000"
801710.SI,建筑材料(申万),"558,033,708,413.0000"
801720.SI,建筑装饰(申万),"1,482,130,211,615.0000"
801730.SI,电气设备(申万),"1,694,562,534,538.0000"
801740.SI,国防军工(申万),"767,160,986,940.0000"
801750.SI,计算机(申万),"2,232,497,033,097.0000"
801760.SI,传媒(申万),"1,957,482,450,449.0000"
801770.SI,通信(申万),"902,551,724,977.0000"
801780.SI,银行(申万),"5,205,179,137,821.0000"
801790.SI,非银金融(申万),"3,179,461,493,144.0000"
801880.SI,汽车(申万),"1,918,191,261,731.0000"
801890.SI,机械设备(申万),"2,287,333,740,723.0000"
,,
数据来源：Wind资讯,,
