证券代码,证券简称,"总市值2
[交易日期] 最新收盘日
[单位] 元"
801011.SI,林业Ⅱ(申万),"24,053,872,938.0000"
801012.SI,农产品加工(申万),"135,508,527,348.0000"
801013.SI,农业综合Ⅱ(申万),"11,110,085,135.0000"
801014.SI,饲料Ⅱ(申万),"199,921,284,473.0000"
801015.SI,渔业(申万),"53,889,131,145.0000"
801016.SI,种植业(申万),"143,228,407,962.0000"
801017.SI,畜禽养殖Ⅱ(申万),"330,410,705,976.0000"
801018.SI,动物保健Ⅱ(申万),"68,456,816,117.0000"
801021.SI,煤炭开采Ⅱ(申万),"748,659,341,277.0000"
801022.SI,其他采掘Ⅱ(申万),"88,823,697,434.0000"
801023.SI,石油开采Ⅱ(申万),"1,189,234,749,197.0000"
801024.SI,采掘服务Ⅱ(申万),"165,553,907,642.0000"
801032.SI,化学纤维(申万),"195,806,898,845.0000"
801033.SI,化学原料(申万),"211,669,844,856.0000"
801034.SI,化学制品(申万),"1,393,357,272,858.0000"
801035.SI,石油化工(申万),"620,542,471,928.0000"
801036.SI,塑料Ⅱ(申万),"228,119,257,215.0000"
801037.SI,橡胶(申万),"167,953,471,462.0000"
801041.SI,钢铁Ⅱ(申万),"578,824,714,450.0000"
801051.SI,金属非金属新材料(申万),"267,787,386,976.0000"
801053.SI,黄金Ⅱ(申万),"268,192,886,912.0000"
801054.SI,稀有金属(申万),"399,441,946,283.0000"
801055.SI,工业金属(申万),"547,493,800,746.0000"
801072.SI,通用机械(申万),"775,861,985,862.0000"
801073.SI,仪器仪表Ⅱ(申万),"138,739,054,534.0000"
801074.SI,专用设备(申万),"979,164,595,417.0000"
801075.SI,金属制品Ⅱ(申万),"106,633,055,049.0000"
801076.SI,运输设备Ⅱ(申万),"286,935,049,861.0000"
801081.SI,半导体(申万),"287,004,491,041.0000"
801082.SI,其他电子Ⅱ(申万),"276,443,949,724.0000"
801083.SI,元件Ⅱ(申万),"267,759,775,940.0000"
801084.SI,光学光电子(申万),"648,696,235,298.0000"
801085.SI,电子制造Ⅱ(申万),"443,479,662,311.0000"
801092.SI,汽车服务Ⅱ(申万),"168,770,618,136.0000"
801093.SI,汽车零部件Ⅱ(申万),"867,385,764,363.0000"
801094.SI,汽车整车(申万),"837,678,659,699.0000"
801101.SI,计算机设备Ⅱ(申万),"745,400,868,010.0000"
801102.SI,通信设备(申万),"792,095,091,321.0000"
801111.SI,白色家电(申万),"785,314,486,729.0000"
801112.SI,视听器材(申万),"177,569,881,881.0000"
801123.SI,饮料制造(申万),"1,084,273,333,999.0000"
801124.SI,食品加工(申万),"553,436,665,432.0000"
801131.SI,纺织制造(申万),"219,850,024,056.0000"
801132.SI,服装家纺(申万),"467,476,703,412.0000"
801141.SI,包装印刷Ⅱ(申万),"266,315,527,684.0000"
801142.SI,家用轻工(申万),"391,835,220,118.0000"
801143.SI,造纸Ⅱ(申万),"160,379,908,105.0000"
801144.SI,其他轻工制造Ⅱ(申万),
801151.SI,化学制药(申万),"900,866,808,721.0000"
801152.SI,生物制品Ⅱ(申万),"514,030,466,020.0000"
801153.SI,医疗器械Ⅱ(申万),"259,272,020,343.0000"
801154.SI,医药商业Ⅱ(申万),"284,205,093,114.0000"
801155.SI,中药Ⅱ(申万),"909,556,080,321.0000"
801156.SI,医疗服务Ⅱ(申万),"234,484,369,710.0000"
801161.SI,电力(申万),"1,363,510,203,585.0000"
801162.SI,环保工程及服务Ⅱ(申万),"336,646,437,819.0000"
801163.SI,燃气Ⅱ(申万),"130,279,811,960.0000"
801164.SI,水务Ⅱ(申万),"151,586,598,605.0000"
801171.SI,港口Ⅱ(申万),"366,425,137,961.0000"
801172.SI,公交Ⅱ(申万),"63,415,162,274.0000"
801173.SI,航空运输Ⅱ(申万),"323,856,477,578.0000"
801174.SI,机场Ⅱ(申万),"92,866,538,560.0000"
801175.SI,高速公路Ⅱ(申万),"198,925,747,870.0000"
801176.SI,航运Ⅱ(申万),"191,482,855,673.0000"
801177.SI,铁路运输Ⅱ(申万),"122,110,522,465.0000"
801178.SI,物流Ⅱ(申万),"251,488,136,108.0000"
801181.SI,房地产开发Ⅱ(申万),"2,058,153,052,663.0000"
801182.SI,园区开发Ⅱ(申万),"215,272,758,086.0000"
801191.SI,多元金融Ⅱ(申万),"213,110,491,696.0000"
801192.SI,银行Ⅱ(申万),"5,205,179,137,821.0000"
801193.SI,券商Ⅱ(申万),"1,885,486,426,214.9900"
801194.SI,保险Ⅱ(申万),"1,080,864,575,233.0000"
801202.SI,贸易Ⅱ(申万),"218,749,197,254.0000"
801203.SI,一般零售(申万),"428,083,468,926.0000"
801204.SI,专业零售(申万),"195,665,606,148.0000"
801205.SI,商业物业经营(申万),"145,224,209,752.0000"
801211.SI,餐饮Ⅱ(申万),"19,082,335,139.0000"
801212.SI,景点(申万),"70,698,851,505.0000"
801213.SI,酒店Ⅱ(申万),"47,437,391,541.0000"
801214.SI,旅游综合Ⅱ(申万),"233,261,847,658.0000"
801215.SI,其他休闲服务Ⅱ(申万),
801222.SI,计算机应用(申万),"1,487,096,165,086.0000"
801223.SI,通信运营Ⅱ(申万),"110,456,633,656.0000"
801231.SI,综合Ⅱ(申万),"362,344,136,514.0000"
801711.SI,水泥制造Ⅱ(申万),"210,454,759,728.0000"
801712.SI,玻璃制造Ⅱ(申万),"68,609,194,171.0000"
801713.SI,其他建材Ⅱ(申万),"278,969,754,514.0000"
801721.SI,房屋建设Ⅱ(申万),"220,539,833,674.0000"
801722.SI,装修装饰Ⅱ(申万),"164,233,197,907.0000"
801723.SI,基础建设(申万),"689,025,469,975.0000"
801724.SI,专业工程(申万),"276,609,010,653.0000"
801725.SI,园林工程Ⅱ(申万),"131,722,699,406.0000"
801731.SI,电机Ⅱ(申万),"89,681,530,019.0000"
801732.SI,电气自动化设备(申万),"404,066,271,686.0000"
801733.SI,电源设备(申万),"608,661,243,219.0000"
801734.SI,高低压设备(申万),"592,153,489,613.0000"
801741.SI,航天装备Ⅱ(申万),"141,508,922,826.0000"
801742.SI,航空装备Ⅱ(申万),"335,426,803,797.0000"
801743.SI,地面兵装Ⅱ(申万),"67,692,388,631.0000"
801744.SI,船舶制造Ⅱ(申万),"222,532,871,686.0000"
801751.SI,营销传播(申万),"341,208,664,378.0000"
801752.SI,互联网传媒(申万),"624,372,223,333.0000"
801761.SI,文化传媒(申万),"991,901,562,739.0000"
801881.SI,其他交运设备Ⅱ(申万),"44,356,219,533.0000"
,,
数据来源：Wind资讯,,
