证券代码,证券简称,"总市值2
[交易日期] 最新收盘日
[单位] 元"
850111.SI,种子生产(申万),"58,040,346,052.0000"
850112.SI,粮食种植(申万),"41,192,107,475.0000"
850113.SI,其他种植业(申万),"43,995,954,435.0000"
850121.SI,海洋捕捞(申万),"7,336,391,387.0000"
850122.SI,水产养殖(申万),"46,552,739,758.0000"
850131.SI,林业Ⅲ(申万),"24,053,872,938.0000"
850141.SI,饲料Ⅲ(申万),"199,921,284,473.0000"
850151.SI,果蔬加工(申万),"44,394,707,132.0000"
850152.SI,粮油加工(申万),"19,395,137,951.0000"
850154.SI,其他农产品加工(申万),"71,718,682,266.0000"
850161.SI,农业综合Ⅲ(申万),"11,110,085,135.0000"
850171.SI,畜禽养殖Ⅲ(申万),"330,410,705,976.0000"
850181.SI,动物保健Ⅲ(申万),"68,456,816,117.0000"
850211.SI,石油开采Ⅲ(申万),"1,189,234,749,197.0000"
850221.SI,煤炭开采Ⅲ(申万),"673,622,821,637.0000"
850222.SI,焦炭加工(申万),"75,036,519,639.0000"
850231.SI,其他采掘Ⅲ(申万),"88,823,697,434.0000"
850241.SI,油气钻采服务(申万),"153,105,352,142.0000"
850242.SI,其他采掘服务(申万),"12,448,555,500.0000"
850311.SI,石油加工(申万),"597,972,661,227.0000"
850313.SI,石油贸易(申万),"22,569,810,701.0000"
850321.SI,纯碱(申万),"46,707,184,266.0000"
850322.SI,氯碱(申万),"114,578,695,787.0000"
850323.SI,无机盐(申万),"25,827,490,613.0000"
850324.SI,其他化学原料(申万),"24,556,474,188.0000"
850331.SI,氮肥(申万),"71,231,990,404.0000"
850332.SI,磷肥(申万),"28,069,276,007.0000"
850333.SI,农药(申万),"153,894,990,311.0000"
850334.SI,日用化学产品(申万),"58,827,276,734.0000"
850335.SI,涂料油漆油墨制造(申万),"59,643,244,005.0000"
850336.SI,钾肥(申万),"37,147,874,680.0000"
850337.SI,民爆用品(申万),"54,680,890,696.0000"
850338.SI,纺织化学用品(申万),"123,959,899,437.0000"
850339.SI,其他化学制品(申万),"470,317,733,887.0000"
850341.SI,涤纶(申万),"119,304,481,647.0000"
850342.SI,维纶(申万),"10,588,248,776.0000"
850343.SI,粘胶(申万),"27,903,733,232.0000"
850344.SI,其他纤维(申万),"15,644,340,088.0000"
850345.SI,氨纶(申万),"22,366,095,102.0000"
850351.SI,其他塑料制品(申万),"165,884,548,185.0000"
850352.SI,合成革(申万),"19,281,714,230.0000"
850353.SI,改性塑料(申万),"42,952,994,800.0000"
850361.SI,轮胎(申万),"111,554,747,685.0000"
850362.SI,其他橡胶制品(申万),"35,728,041,128.0000"
850363.SI,炭黑(申万),"20,670,682,649.0000"
850372.SI,聚氨酯(申万),"97,965,024,490.0000"
850373.SI,玻纤(申万),"61,199,836,691.0000"
850381.SI,复合肥(申万),"96,076,090,016.0000"
850382.SI,氟化工及制冷剂(申万),"65,274,298,144.0000"
850383.SI,磷化工及磷酸盐(申万),"15,068,847,356.0000"
850411.SI,普钢(申万),"514,545,422,965.0000"
850412.SI,特钢(申万),"64,279,291,484.0000"
850521.SI,金属新材料Ⅲ(申万),"99,139,561,998.0000"
850522.SI,磁性材料(申万),"94,255,791,765.0000"
850523.SI,非金属新材料(申万),"74,392,033,213.0000"
850531.SI,黄金Ⅲ(申万),"268,192,886,912.0000"
850541.SI,稀土(申万),"89,451,006,392.0000"
850542.SI,钨(申万),"51,598,835,750.0000"
850543.SI,锂(申万),"64,558,133,611.0000"
850544.SI,其他稀有小金属(申万),"193,833,970,530.0000"
850551.SI,铝(申万),"187,177,904,783.0000"
850552.SI,铜(申万),"165,652,591,234.0000"
850553.SI,铅锌(申万),"194,663,304,729.0000"
850611.SI,玻璃制造Ⅲ(申万),"68,609,194,171.0000"
